TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW
646,205.9377813015,247.112229616903,546.949989081597
647,206.30218169343,258.044602096963,535.653216209607
648,210.533975033097,271.714792475538,517.751232491365
649,212.856051096236,286.079547078312,501.064401825452
650,215.185493606476,297.575098970292,487.239407423232
651,215.513997596143,309.707730474366,474.77827192949
652,213.494368877952,318.232057809234,468.273573312814
653,211.767735953825,324.971196515689,463.261067530486
654,213.593069866881,332.279726413484,454.127203719635
655,216.678572711239,315.66574009281,467.655687195951
656,224.417227615743,299.882453088169,475.700319296087
657,231.458447606894,284.888330433761,483.653221959345
658,232.197844341904,270.643913912073,497.158241746023
659,229.318244252744,282.74175734874,487.939998398517
660,227.303569177475,268.604669481303,504.091761341222
661,226.272612647718,255.174436007237,518.552951345044
662,224.926084038648,242.415714206876,532.658201754477
663,224.652950183329,230.294928496532,545.052121320139
664,223.919495273648,218.780182071705,557.300322654647
665,215.32399291087,242.864984395399,541.811022693731
666,210.683593105232,251.973204269335,537.343202625433
667,207.493892304237,260.555690968334,531.950416727429
668,199.739534171477,285.924949590678,514.335516237845
669,199.063259378281,294.131644683224,506.805095938495
670,191.658583132783,319.522035895895,488.819380971322
671,190.256977776618,330.931247177108,478.811775046274
672,193.576131301993,343.5471417568,462.876726941207
673,202.046610507074,326.36978466896,471.583604823967
674,209.058989013432,310.051295435512,480.889715551056
675,215.954890268339,294.548730663736,489.496379067925
676,219.368140411267,279.821294130549,500.810565458184
677,219.683157010335,265.830229424022,514.486613565643
678,219.317429273541,252.538717952821,528.143852773638
679,216.982337827547,263.012073153449,520.005589019004
680,217.968541171227,249.861469495776,532.169989332997
681,219.039753536125,237.368396020987,543.591850442888
682,213.468160825463,264.497781553072,522.034057621465
683,215.47606116574,279.883124256135,504.640814578125
684,213.53813938144,294.7061226083,491.755738010261
685,213.017380949206,309.324986331104,477.65763271969
686,214.271498983211,321.63467662934,464.093824387449
687,205.248747194134,349.669580398113,445.081672407752
688,206.728602905037,332.186101378207,461.085295716755
689,208.555669771555,315.576796309297,475.867533919148
690,208.806177377858,330.47655194741,460.717270674732
691,205.207199001111,339.818788682891,454.974012315998
692,208.25896732111,322.827849248746,468.913183430144
693,207.724007179729,306.686456786309,485.589536033962
694,207.960563963551,291.352133946993,500.687302089456
695,209.289519219054,276.784527249644,513.925953531303
696,210.778775131613,262.945300887161,526.275923981225
697,211.137522223156,249.798035842803,539.06444193404
698,213.345059490053,237.308134050663,549.346806459283
699,212.117308641095,225.44272734813,562.439964010775
700,210.231290567336,214.170590980724,575.598118451941
701,211.779410471884,203.462061431687,584.758528096429
702,213.141662454055,193.288958360103,593.569379185842
703,218.806563497031,183.624510442098,597.568926060871
704,222.600045937737,174.443284919993,602.95666914227
705,224.198058042906,165.721120673993,610.080821283101
706,230.122982248391,157.435064640294,612.441953111315
707,231.01418366847,149.563311408279,619.422504923251
708,234.684426425938,142.085145837865,623.230427736197
709,232.484261423808,162.553462938162,604.96227563803
710,231.265480908023,180.260143679913,588.474375412065
711,232.529085917198,171.247136495917,596.223777586885
712,233.512971565382,162.684779671121,603.802248763497
713,228.49732341445,184.530541969575,586.972134615976
714,224.640018821961,198.983837724057,576.376143453982
715,214.060031677798,225.933622252455,560.006346069747
716,211.573968099063,238.33183781509,550.094194085848
717,211.572356153588,226.415245924335,562.012397922077
718,210.901576272884,215.094483628118,574.003940098998
719,208.020420114065,204.339759446712,587.639820439223
720,206.856590081938,194.122771474377,599.020638443685
721,206.492427740074,184.416632900658,609.090939359268
722,207.711785893511,175.195801255625,617.092412850864
723,207.140455525595,166.436011192844,626.423533281561
724,207.892741653611,158.114210633202,633.993047713188
725,207.341270462512,150.208500101541,642.450229435946
726,207.836502351437,142.698075096464,649.465422552099
727,207.152588859795,135.563171341641,657.284239798563
728,208.988256229123,128.785012774559,662.226730996318
729,206.405470509749,122.345762135831,671.24876735442
730,205.741450121864,116.22847402904,678.030075849096
731,195.666407626848,149.353565357208,654.980027015944
732,191.20858698357,164.594466009728,644.196947006701
733,186.114481881892,175.995254367915,637.890263750193
734,181.925199476135,187.915655186988,630.159145336877
735,172.470131777257,215.34386227091,612.186005951833
736,169.597536199043,223.876014621392,606.526449179565
737,165.674997849516,235.847858331551,598.477143818932
738,157.012919690448,260.609644748492,582.37743556106
739,153.680297462229,272.110103781342,574.209598756429
740,145.186149433912,298.448457005376,556.365393560712
741,141.994018948301,305.582308792427,552.423672259272
742,141.156378203935,290.303193352806,568.540428443259
743,144.034863257972,275.788033685166,580.177103056862
744,146.040657513647,261.998632000907,591.960710485446
745,145.624563647239,248.898700400862,605.476735951899
746,143.572090262104,236.453765380819,619.974144357077
747,141.278837946259,224.631077111778,634.090084941963
748,141.39120042967,213.399523256189,645.209276314141
749,134.545162738797,217.72954709338,647.725290167823
750,132.739497118306,206.843069738711,660.417433142984
751,132.591143263392,196.500916251775,670.907940484833
752,133.747034841957,186.675870439186,679.577094718857
753,136.051267480104,177.342076917227,686.606655602669
754,138.497189566632,168.474973071366,693.027837362003
755,139.406891598119,160.051224417797,700.541883984084
756,142.990654571319,152.048663196908,704.960682231774
757,146.202998540337,144.446230037062,709.350771422601
758,146.693681046004,137.223918535209,716.082400418787
759,147.254676230522,130.362722608449,722.382601161029
760,147.768605481576,123.844586478026,728.386808040397
761,149.69124778637,117.652357154125,732.656395059505
762,147.096565743003,111.769739296419,741.133694960578
763,149.776003607061,106.181252331598,744.042744061341
764,151.547839139935,100.872189715018,747.579971145047
765,153.402769710614,99.5845908687896,747.012639420596
766,157.304021625279,99.4634307298713,743.23254764485
767,161.563301669318,99.4520450093102,738.984653321372
768,162.68259784891,99.4509751987267,737.866426952364
769,165.095608062002,99.4508746797292,735.453517258269
770,165.870585958677,120.172910847732,713.956503193591
771,164.230240228242,146.341543863678,689.42821590808
772,162.271357810082,169.73630219814,667.992339991777
773,169.231459045394,161.249487088233,669.519053866373
774,174.601090791678,153.187012733822,672.2118964745
775,177.925484351956,145.527662097131,676.546853550914
776,179.431063917911,138.251278992274,682.317657089815
777,178.542318972414,158.659018436371,662.798662591214
778,176.746513066913,180.985471046142,642.268015886945
779,176.706451459796,171.936197493835,651.357351046369
780,177.161020387021,163.339387619144,659.499591993835
781,177.053468163448,155.172418238186,667.774113598365
782,176.27446583366,147.413797326277,676.311736840063
783,180.037008653212,140.043107459963,679.919883886825
784,183.930504224221,133.040952086965,683.028543688814
785,184.124621973044,126.388904482617,689.486473544339
786,185.802777877011,120.069459258486,694.127762864503
787,188.044127065265,114.065986295562,697.889886639173
788,178.994433473417,145.948325095463,675.05724143112
789,170.346533803253,174.018916314213,655.634549882534
790,165.552871239716,180.317970498502,654.129158261782
791,165.298309929632,171.302071973577,663.39961809679
792,166.486414140012,162.736968374898,670.77661748509
793,160.403526631344,193.536463092567,646.060010276089
794,163.063400605984,209.727143250018,627.209456143999
795,164.665909067672,226.90192818508,608.432162747248
796,163.811709528654,247.522512637194,588.665777834152
797,162.426765845598,260.216022404954,577.357211749447
798,162.410532547802,274.135885050961,563.453582401237
799,167.30231200716,260.429090798413,572.268597194427
800,170.348089451039,247.407636258492,582.244274290469
801,169.688462652877,263.431597637891,566.879939709232
802,169.312504497004,281.882591027385,548.804904475611
803,169.301836474455,297.410343285129,533.287820240417
804,174.394504127945,282.539826120872,543.065669751183
805,173.816558038415,297.536548554448,528.646893407137
806,181.067924384864,282.659721126725,536.272354488411
807,189.097288656863,268.526735070389,542.375976272748
808,188.288939085446,285.024976041026,526.686084873528
809,189.567780721776,298.176530239367,512.255689038858
810,189.717888745722,315.150651591114,495.131459663164
811,188.709835024221,326.901703098506,484.388461877274
812,190.350876741953,310.55661794358,499.092505314467
